Mobile Site,Address,Street,City,State,Zipcode,ResultID,X,Y
Crenshaw Drive Thru,"1261 W 79th Street,Los Angeles,CA,90044",1261 W 79th Street,Los Angeles,CA,90044,0,-118.29773387245767,33.96735912739288
Dogers Stadium,"1000 Vin Scully Ave,Los Angeles,CA,90012",1000 Vin Scully Ave,Los Angeles,CA,90012,1,-118.24673741725913,34.07251083800033
Hansen Drive Thru,"11798 Foothill Blvd,Lake View Terrace,CA,91342",11798 Foothill Blvd,Lake View Terrace,CA,91342,2,-118.39325402078555,34.27322158855169
Lincoln Park,"3501 Valley Blvd,Los Angeles,CA,90031",3501 Valley Blvd,Los Angeles,CA,90031,3,-118.20205598054548,34.06550687927083
Baldwin Hills Mall,"3650 W Martin Luther King Jr Blvd,Los Angeles,CA,90008",3650 W Martin Luther King Jr Blvd,Los Angeles,CA,90008,4,-118.33626743328588,34.01144875865956
South Park Recreation Center,"345 E 51st St,Los Angeles,CA,90011",345 E 51st St,Los Angeles,CA,90011,5,-118.2685290827735,33.996574778108204
San Fernando,"208 Park Ave,San Fernando,CA,91340",208 Park Ave,San Fernando,CA,91340,6,-118.43449483321812,34.28104359369005
Sears Boyle Heights,"2650 E. Olympic Blvd.,Los Angeles,CA,90023",2650 E. Olympic Blvd.,Los Angeles,CA,90023,7,-118.22178823790597,34.02508276236475
Pierce College,"6201Winnetka Ave,Woodland Hills,CA,91371",6201Winnetka Ave,Woodland Hills,CA,91371,8,-118.57099324398466,34.18269003470576
South Los Angeles Sports Activity Center,"7020 S. Figueroa St.,Los Angeles,CA,90003",7020 S. Figueroa St.,Los Angeles,CA,90003,9,-118.28267916025709,33.976206627663316
Green Meadows,"731 E. 89th St.,Los Angeles,CA,90003",731 E. 89th St.,Los Angeles,CA,90003,10,-118.26188131154603,33.95561254301838
Algin Sutton Park,"8800 S Hoover St,Los Angeles,CA,90044",8800 S Hoover St,Los Angeles,CA,90044,11,-118.286952505953,33.957235991934894
South LA Sports Activity Center,"7020 S Figueroa St,Los Angeles,CA,90003",7020 S Figueroa St,Los Angeles,CA,90003,12,-118.28267916025709,33.976206627663316
Mid Valley YMCA (Van Nuys),"6901 Lennox Ave,Van Nuys,CA,91405",6901 Lennox Ave,Van Nuys,CA,91405,13,-118.44551720657444,34.196286196813055
Vermont Square Park,"1248 W 47th St,Los Angeles,CA,90037",1248 W 47th St,Los Angeles,CA,90037,14,-118.29706904757855,34.00054524217897
Graff Lab,"1038 Venice Blvd,Los Angeles,CA,90015",1038 Venice Blvd,Los Angeles,CA,90015,15,-118.27882425695792,34.04133245748373
Hill St Parking,"713 N. Hill St.,Los Angeles,CA,90012",713 N. Hill St.,Los Angeles,CA,90012,16,-118.24036256213594,34.06123616654262
Andres and Maria Cardenas Rec Center,"14740 Blythe St., Panorama City, CA, 91402",14740 Blythe St., Panorama City, CA,91402,17,-118.4541891601189,34.21516508991603
Highland Park Police Museum,"6045 York Blvd, Los Angeles, CA,90042",6045 York Blvd, Los Angeles, CA,90042,18,-118.18758278069438,34.117809955085576
Teatro Frida Kahlo,"2332 W. 4th St., Los Angeles, CA, 90057",2332 W. 4th St., Los Angeles, CA,90057,19,-118.27648367652509,34.06387261769906
Valley Crossroads Seventh Day Adventist Church,"11350 Glenoaks Blvd., Pacoima, CA, 91331",11350 Glenoaks Blvd., Pacoima, CA,91331,20,-118.41502681300737,34.27688435384866
Branford Rec Center,"13306 Branford St., Arleta, CA, 91331",13306 Branford St., Arleta, CA,91331,21,-118.42340041809867,34.23345071460741
Elysian Valley Rec Center,"1811 Ripple St., Los Angeles, CA, 90039",1811 Ripple St., Los Angeles, CA,90039,22,-118.24509846456344,34.09890955390744
Queen Anne Recreation Center,"1240 West Blvd., Los Angeles, CA, 90019",1240 West Blvd., Los Angeles, CA,90019,23,-118.33304685462865,34.050341501855414
Glassel Park Rec Center,"3650 Verdugo Rd., Los Angeles, CA, 90065",3650 Verdugo Rd., Los Angeles, CA,90065,24,-118.2332461319087,34.11681623855456
Sylmar Recreation Center,"13109 Borden Ave., Sylmar, CA, 91342",13109 Borden Ave., Sylmar, CA,91342,25,-118.44442114161536,34.30841929479889
Clinica Romero,"123 S. Alvarado St., Los Angeles, CA, 90026",123 S. Alvarado St., Los Angeles, CA,90026,26,-118.27074802400116,34.066062767089385
Seoul International Park,"3250 San Marino St, Los Angeles, CA, 90006",3250 San Marino St, Los Angeles, CA,90006,27,-118.30176701690152,34.05446254837063
Sunland-Tujunga Neighborhood Council,"7747 Foothill Blvd #101, Tujunga, CA, 91042",7747 Foothill Blvd #101, Tujunga, CA,91042,28,-118.30104005443908,34.257495586880296
Jim Gilliam Park,"4000 South La Brea Ave, Los Angeles, CA, 90008",4000 South La Brea Ave, Los Angeles, CA,90008,29,-118.35542636846905,34.014641551307705
Lemon Grove Recreation Center,"4959 Lemon Grove Ave, Los Angeles, CA, 90029",4959 Lemon Grove Ave, Los Angeles, CA,90029,30,-118.30462373714178,34.08626420148011
